name,adp,adpsd,position,team,proj,projsd
Scottie Scheffler,1.17,0.41,G,none,1,1
Xander Schauffele,1.83,0.41,G,none,1,1
Ludvig Aberg,3.83,1.17,G,none,1,1
Hideki Matsuyama,4.83,1.72,G,none,1,1
Byeong Hun An,11.83,6.85,G,none,1,1
Rory McIlroy,4.50,1.22,G,none,1,1
Shane Lowry,12.00,4.38,G,none,1,1
Tony Finau,10.50,3.39,G,none,1,1
Tom Hoge,19.50,5.50,G,none,1,1
Tommy Fleetwood,8.67,2.07,G,none,1,1
Sam Burns,9.67,2.34,G,none,1,1
Collin Morikawa,7.67,2.42,G,none,1,1
Taylor Pendrith,18.00,4.56,G,none,1,1
Patrick Cantlay,10.67,3.83,G,none,1,1
Russell Henley,12.50,2.59,G,none,1,1
Sungjae Im,13.00,3.35,G,none,1,1
Wyndham Clark,17.50,1.87,G,none,1,1
Christiaan Bezuidenhout,21.83,2.23,G,none,1,1
Akshay Bhatia,23.50,2.26,G,none,1,1
Billy Horschel,18.33,1.51,G,none,1,1
Viktor Hovland,13.83,4.26,G,none,1,1
Adam Scott,18.33,2.07,G,none,1,1
Chris Kirk,23.83,0.75,G,none,1,1
Aaron Rai,22.83,1.47,G,none,1,1
Robert Macintyre,24.50,0.55,G,none,1,1
Justin Thomas,17.17,5.38,G,none,1,1
Keegan Bradley,22.67,4.13,G,none,1,1
Sahith Theegala,25.00,1.55,G,none,1,1
Sepp Straka,25.00,2.00,G,none,1,1
Matthieu Pavon,25.33,2.34,G,none,1,1
